....
WiFi connected.
10.202.222.1
t_ms,roll,pitch,yaw,ax,ay,az
9801,65.12,-2.75,59.88,-2.830,-5.560,-4.030
9838,68.94,-1.25,60.31,0.350,-14.990,-5.910
9850,70.06,-1.31,60.88,-4.020,-19.510,-9.590
9864,71.50,-1.62,61.13,-6.000,-21.040,-10.970
9876,74.00,-2.62,61.19,-10.550,-24.710,-12.590
9889,77.87,-2.94,61.75,-10.710,-26.720,-12.910
9901,77.94,-2.31,61.75,-11.760,-27.510,-12.020
9915,76.62,-1.62,62.13,-12.050,-27.420,-12.360
9927,72.87,-2.50,62.88,-7.960,-18.880,-13.110
9940,72.37,-4.31,62.81,-5.750,-16.510,-12.340
9952,72.31,-6.12,62.56,-2.840,-13.490,-10.670
9965,71.94,-7.12,62.25,-2.530,-12.100,-10.690
9978,69.75,-6.81,61.56,-0.480,-11.980,-8.590
9990,68.37,-6.12,61.06,-0.510,-10.980,-4.860
10002,66.31,-5.00,60.00,-1.570,-8.800,-10.660
10015,64.19,-3.81,59.50,-1.120,-8.280,-6.910
10028,61.44,-2.94,59.88,1.690,-6.920,-3.150
10040,60.38,-2.62,60.31,1.720,-6.890,-1.830
10052,59.44,-2.37,60.88,1.140,-6.960,-0.780
10066,58.44,-2.12,61.50,1.650,-6.520,0.990
10078,56.37,-1.69,62.94,2.420,-6.170,3.280
10090,55.44,-1.69,63.87,3.000,-5.630,4.310
10102,54.44,-1.69,64.87,3.250,-6.340,7.100
10116,53.31,-1.69,66.06,3.630,-7.060,8.790
10128,50.75,-2.00,68.75,6.420,-10.000,16.460
10141,49.31,-2.31,70.25,6.590,-11.190,18.380
10153,48.00,-2.87,71.81,7.210,-12.750,20.530
10166,46.63,-3.56,73.31,8.690,-14.340,23.130
10179,43.81,-5.06,75.62,15.390,-14.550,29.130
10191,42.88,-5.75,76.19,16.940,-13.500,30.010
10203,42.44,-6.31,76.31,16.580,-11.510,28.940
10216,42.56,-6.56,76.00,14.730,-10.430,26.830
10229,44.31,-6.12,73.87,12.090,-8.420,21.980
10241,45.75,-5.62,72.37,8.370,-6.070,16.270
10253,47.38,-5.06,70.81,6.210,-5.420,14.150
10267,49.19,-4.50,69.19,4.810,-4.850,12.640
10279,52.50,-3.75,66.31,1.790,-4.070,9.320
10291,54.00,-3.50,65.12,0.330,-3.940,8.510
10303,55.38,-3.50,64.12,0.970,-3.830,8.200
10317,56.63,-3.75,63.19,4.110,-4.090,8.280
10329,59.13,-3.94,61.56,0.130,-5.140,5.280
10341,60.50,-4.00,60.69,0.170,-5.360,4.400
10353,61.81,-3.94,59.81,1.550,-4.920,1.950
10367,63.06,-3.69,58.94,0.410,-4.790,-0.450
10379,65.44,-3.00,57.62,-0.980,-8.700,-3.810
10392,66.25,-2.87,57.38,-1.470,-10.350,-4.940
10404,66.62,-2.87,57.31,2.710,-10.650,-4.910
10417,66.69,-2.81,57.50,7.820,-10.580,-3.170
10430,66.12,-1.19,58.94,-7.590,-17.140,-15.090
10442,67.44,-1.31,59.50,-10.380,-18.960,-16.020
10454,70.69,-1.94,59.38,-12.390,-25.000,-13.380
10467,73.69,-2.25,59.25,-13.610,-28.850,-11.500
10480,74.94,-1.19,59.88,-14.540,-29.450,-10.320
10492,73.56,-1.19,60.44,-13.590,-23.990,-11.610
10504,72.62,-2.62,60.69,-11.850,-20.760,-12.200
10518,71.50,-4.19,60.88,-7.750,-17.430,-12.650
10530,71.75,-7.94,60.50,-4.130,-12.120,-10.760
10542,71.31,-8.38,60.25,-2.400,-11.660,-10.420
10554,70.12,-7.87,60.12,-1.430,-11.820,-8.980
10568,68.56,-6.87,60.06,-2.190,-12.260,-4.800
10581,65.12,-4.81,59.19,-1.330,-10.750,-7.800
10593,64.00,-4.75,59.31,0.340,-9.680,-5.250
10605,62.81,-4.94,59.75,1.440,-7.840,-3.710
10618,62.13,-5.44,60.19,0.100,-6.410,-3.440
10631,60.19,-5.31,61.44,3.020,-6.590,0.870
10643,59.38,-4.94,62.19,2.250,-6.740,2.150
10655,58.63,-4.50,63.06,1.170,-7.180,3.370
10668,57.94,-4.19,64.00,1.530,-7.440,4.440
10681,56.13,-3.94,66.31,2.690,-9.130,8.490
10693,55.12,-4.00,67.69,3.140,-9.550,9.790
10705,53.94,-4.19,69.19,5.550,-10.880,14.200
10718,52.69,-4.44,70.75,6.490,-11.640,16.810
10731,50.06,-5.19,74.00,7.710,-12.640,22.300
10743,48.87,-5.75,75.44,9.250,-13.200,26.480
10755,47.81,-6.31,76.62,10.030,-13.110,27.690
10769,46.94,-6.87,77.44,11.480,-12.920,28.890
10781,45.94,-7.75,78.12,12.640,-11.760,28.830
10793,46.06,-8.00,77.87,11.800,-10.820,27.100
10805,46.63,-8.13,77.19,10.570,-10.050,24.980
10842,51.69,-7.12,71.50,4.700,-5.370,12.980
10854,53.13,-6.81,69.94,4.320,-4.420,10.650
10868,54.56,-6.62,68.56,4.550,-4.000,9.900
10880,55.94,-6.56,67.31,3.990,-3.270,7.280
10893,58.87,-6.69,65.50,3.710,-3.300,6.510
10905,60.56,-6.62,64.75,3.250,-3.350,5.370
10919,62.44,-6.50,64.00,2.560,-3.580,4.130
10931,64.44,-6.12,63.25,-0.620,-6.020,0.210
10944,68.69,-4.87,61.56,0.110,-6.220,-0.800
10956,70.69,-4.12,60.81,2.650,-6.980,-2.350
10970,72.56,-3.37,60.19,2.690,-7.860,-3.290
10982,76.12,-2.62,59.88,1.890,-9.860,-5.810
10994,77.87,-2.44,59.94,-0.670,-13.670,-8.440
11006,79.69,-2.12,60.12,-1.440,-15.950,-9.340
11020,81.44,-1.56,60.12,-3.740,-18.380,-10.590
11032,83.94,0.37,60.06,-6.100,-24.770,-14.060
11045,85.06,0.62,60.19,-8.540,-28.430,-13.320
11057,86.06,0.19,60.56,-9.410,-29.210,-12.630
11070,85.94,-0.19,61.25,-10.500,-28.950,-14.130
11083,84.00,-2.37,63.31,-10.190,-25.620,-13.410
11095,82.37,-3.37,63.87,-6.960,-21.150,-13.630
11107,81.44,-4.37,63.81,-3.400,-16.080,-12.260
11120,80.56,-5.00,63.63,-1.920,-15.020,-11.680
11133,77.87,-4.50,62.69,-0.950,-11.680,-11.410
11145,76.06,-3.56,62.13,-0.230,-11.870,-9.690
11157,74.00,-2.50,62.00,1.700,-11.220,-8.590
11170,72.56,-1.87,61.75,-0.790,-10.290,-10.600
11183,70.19,-1.37,61.50,2.600,-7.530,-5.650
11195,69.25,-1.31,61.63,0.850,-6.480,-5.220
11207,68.06,-0.88,61.94,2.020,-5.830,-2.990
11221,66.81,-0.25,62.38,2.670,-5.970,-1.760
11233,64.12,1.00,63.69,3.190,-6.690,0.730
11245,62.62,1.37,64.69,4.630,-7.660,4.010
11257,60.94,1.56,66.06,5.170,-8.390,6.130
11271,59.19,1.62,67.44,5.890,-9.290,8.880
11283,55.38,1.44,70.69,10.020,-11.700,18.690
11296,53.25,1.06,72.44,12.000,-12.190,22.180
11308,51.06,0.13,74.25,13.850,-12.230,25.130
11321,48.81,-0.75,76.00,17.410,-12.010,29.960
11334,46.06,-2.25,77.94,19.930,-12.170,33.990
11346,45.69,-2.56,77.94,20.150,-11.860,34.200
11358,45.94,-2.50,77.31,18.080,-10.910,30.550
11371,46.69,-2.25,76.19,16.060,-10.160,27.250
11384,49.25,-1.50,73.06,10.770,-6.680,16.460
11396,50.88,-1.06,71.37,9.930,-5.620,13.860
11408,52.56,-0.75,69.81,9.160,-4.540,11.870
11422,54.44,-0.50,68.44,8.450,-4.040,10.550
11434,58.25,-0.50,66.31,5.190,-3.950,7.840
11446,60.12,-0.62,65.44,4.810,-4.280,7.370
11458,61.94,-0.81,64.69,4.540,-4.980,5.890
11472,63.81,-1.00,63.87,4.150,-5.430,4.920
11485,67.62,-1.31,62.13,1.910,-5.890,2.130
11497,69.50,-1.25,61.19,1.020,-4.750,-0.620
11509,71.31,-1.06,60.19,0.660,-4.490,-1.840
11522,73.06,-0.75,59.38,0.000,-5.050,-2.970
11535,75.87,-0.13,58.44,4.260,-9.690,-4.420
11547,77.06,-0.06,58.38,6.680,-11.690,-4.950
11559,78.44,-0.13,58.56,3.800,-14.180,-7.110
11572,79.56,0.13,58.87,-3.830,-19.910,-12.610
11585,82.81,1.00,58.75,-11.420,-25.560,-16.230
11597,85.69,0.13,58.56,-13.530,-27.570,-17.360
11609,87.12,-0.81,59.88,-15.100,-30.230,-12.280
11622,86.44,-1.06,60.75,-11.800,-31.890,-14.700
11635,82.06,-2.37,62.56,-10.220,-21.020,-14.710
11647,80.19,-3.56,63.06,-7.320,-16.670,-14.640
11659,80.00,-5.25,63.00,-5.010,-13.850,-13.890
11673,80.62,-6.75,62.69,-3.640,-12.750,-12.990
11686,78.44,-6.87,62.13,-1.250,-13.150,-11.240
11698,76.56,-6.00,61.88,-0.360,-12.060,-9.510
11710,74.00,-4.37,61.81,0.930,-10.110,-9.330
11723,71.44,-2.75,61.88,0.250,-8.430,-11.000
11736,69.06,-1.94,62.44,2.190,-7.470,-7.400
11748,68.06,-1.62,62.94,1.710,-7.280,-6.480
11760,67.31,-1.37,63.44,1.830,-6.560,-7.510
11773,65.75,-0.56,63.56,2.550,-8.410,-0.410
11786,61.63,1.06,65.75,5.000,-9.810,1.460
11798,60.06,1.25,67.00,5.420,-10.400,2.850
11810,58.44,1.44,68.37,6.510,-9.980,4.540
11847,51.13,0.37,74.62,10.140,-13.930,18.660
11859,49.19,-0.31,76.12,10.900,-13.750,20.420
11873,47.25,-1.12,77.37,12.260,-13.550,22.450
11885,45.44,-1.94,78.44,16.400,-12.270,28.810
11898,42.44,-3.69,79.81,17.290,-11.820,30.020
11910,41.44,-4.56,80.06,17.990,-10.930,30.030
11924,40.94,-5.31,80.06,18.230,-10.040,28.690
11936,41.69,-6.06,79.00,14.500,-8.570,21.920
11949,42.69,-6.06,78.00,13.440,-8.520,19.650
11961,44.06,-5.94,76.81,10.490,-7.190,14.760
11974,45.69,-5.81,75.50,9.130,-6.470,12.460
11987,49.06,-5.69,73.00,7.090,-4.590,8.590
11999,50.81,-5.69,71.94,5.130,-3.920,5.670
12011,52.62,-5.75,71.06,3.540,-4.360,4.660
12024,54.56,-5.94,70.31,2.570,-4.690,3.930
12037,58.13,-6.06,69.00,1.130,-6.020,2.270
12049,59.81,-6.06,68.37,0.910,-6.330,1.560
12061,61.56,-6.06,67.81,0.910,-5.930,0.560
12075,63.38,-6.12,67.25,-0.470,-6.050,-2.280
12087,66.62,-6.19,66.75,-0.790,-6.760,-4.410
12099,67.62,-6.12,66.87,2.060,-9.860,-4.110
12111,68.50,-5.94,67.12,1.420,-12.560,-4.270
12125,69.37,-5.75,67.31,1.070,-13.570,-4.700
12137,72.62,-5.50,67.00,-5.530,-18.600,-12.150
12149,74.94,-5.19,66.56,-7.670,-18.910,-13.880
12161,77.12,-4.62,66.12,-7.940,-18.530,-14.410
12175,79.00,-4.00,65.69,-8.500,-19.510,-14.870
12188,81.00,-3.50,65.69,-8.900,-25.020,-9.810
12200,80.50,-3.69,65.94,-9.560,-24.420,-10.630
12212,79.44,-4.12,66.19,-9.530,-20.610,-12.950
12225,78.62,-5.00,66.31,-8.410,-18.450,-12.790
12238,78.37,-7.12,66.31,-5.600,-15.510,-9.470
12250,77.56,-7.56,66.19,-3.770,-13.930,-9.210
12262,76.31,-7.75,66.00,-2.980,-13.280,-8.300
12276,74.62,-7.62,65.81,-2.160,-13.050,-8.240
12288,71.69,-8.06,65.75,-0.640,-11.010,-6.990
12300,70.75,-8.50,65.69,-0.230,-10.420,-6.890
12312,70.12,-8.94,65.69,0.280,-9.910,-5.400
12326,69.06,-8.81,65.69,0.760,-9.650,-5.500
12339,66.94,-8.31,65.75,0.300,-9.610,-3.860
12351,65.62,-7.94,65.75,-0.030,-7.750,-2.560
12363,63.87,-7.25,65.69,-0.180,-6.740,-2.050
12376,61.37,-6.06,65.56,-0.700,-5.980,-3.590
12389,58.25,-4.87,66.75,2.160,-7.460,3.840
12401,57.44,-4.75,67.56,2.490,-8.250,5.160
12413,57.13,-5.00,68.44,1.610,-8.560,5.980
12426,56.75,-5.19,69.37,0.670,-9.340,7.480
12439,54.50,-5.25,71.12,2.670,-10.150,11.030
12451,52.75,-5.25,72.12,3.300,-10.390,12.660
12463,51.00,-5.50,73.19,6.110,-10.790,17.470
12476,49.56,-6.00,74.44,7.280,-11.610,20.380
12489,46.75,-7.44,76.62,10.890,-12.820,25.790
12501,45.63,-8.19,77.37,12.660,-12.700,27.210
12513,44.94,-8.75,77.69,13.170,-12.340,27.210
12527,44.69,-9.06,77.50,13.380,-11.460,26.360
12539,45.75,-9.00,76.00,9.740,-7.940,19.970
12551,46.81,-8.69,74.87,8.480,-6.680,17.550
12563,48.13,-8.38,73.75,7.140,-5.590,15.570
12577,49.44,-8.13,72.62,6.050,-3.710,12.460
12589,52.50,-7.56,70.75,4.590,-3.520,10.190
12602,54.13,-7.37,70.00,3.090,-3.960,8.780
12614,55.88,-7.25,69.44,2.890,-4.520,8.190
12627,57.44,-7.06,68.81,2.210,-4.980,7.500
12640,60.75,-6.75,67.56,0.880,-4.190,4.130
12652,62.56,-6.50,66.94,0.160,-4.020,2.590
