345.25,-35.00,58.00,-11.960,-13.080,5.990
130752,333.44,-11.06,43.44,-13.550,-14.700,9.840
130764,333.25,-10.94,43.38,-11.290,-14.580,10.350
130778,333.25,-10.63,43.19,-6.200,-10.290,8.630
130791,334.06,-8.94,42.38,-6.710,-8.850,8.160
130803,334.62,-7.87,41.94,-3.840,-5.900,7.580
130815,335.19,-6.75,41.50,0.080,-3.180,5.730
130828,336.00,-5.62,41.13,0.010,-1.790,5.610
130841,337.06,-3.94,40.44,4.800,-0.530,4.930
130853,337.38,-3.50,40.31,12.790,1.010,4.300
130865,337.00,-3.12,40.25,11.570,1.290,4.310
130879,336.37,-2.81,40.25,7.910,-0.700,3.560
130915,336.75,-4.94,40.25,7.760,-0.850,5.530
130929,337.00,-5.12,40.44,5.880,-2.960,4.290
130941,336.87,-5.94,40.81,4.250,-3.910,6.850
130953,336.44,-6.75,41.13,2.400,-6.100,7.550
130965,336.06,-7.62,41.31,-3.080,-7.420,8.140
130979,335.75,-8.63,41.50,-6.500,-9.210,8.450
130991,335.13,-10.81,42.00,-15.170,-14.150,9.050
131003,334.87,-11.75,42.19,-16.830,-15.130,9.190
131015,334.62,-12.37,42.25,-18.420,-16.180,9.960
131029,334.31,-12.75,42.31,-15.190,-17.140,10.760
131041,333.63,-12.69,42.25,-9.460,-11.670,10.750
131053,333.63,-12.13,42.06,-6.820,-10.900,9.060
131065,333.69,-11.19,41.69,-4.840,-8.470,6.170
131079,334.00,-10.25,41.25,-2.700,-8.570,7.310
131091,335.38,-8.06,40.44,1.750,-4.740,7.160
131103,336.12,-7.00,40.00,6.710,-0.590,7.760
131115,336.50,-6.37,39.75,9.200,0.010,7.520
131129,336.81,-5.81,39.50,12.260,0.420,6.480
131141,336.50,-5.50,39.56,6.470,0.880,3.380
131153,336.81,-6.06,39.56,5.450,0.190,2.080
131165,337.06,-6.44,39.63,6.410,0.140,0.500
131179,337.31,-6.87,39.75,6.600,-1.020,3.710
131191,337.25,-7.19,40.25,4.970,-3.850,3.510
131203,336.69,-7.75,40.69,4.500,-4.280,5.080
131215,336.12,-8.50,41.13,1.830,-5.090,7.820
131229,335.56,-9.31,41.50,-0.910,-5.390,7.330
131241,334.75,-11.19,42.44,-7.300,-9.820,8.570
131253,334.44,-12.13,42.94,-10.390,-12.320,8.570
131265,334.19,-12.94,43.31,-11.820,-13.690,8.930
131279,334.06,-13.50,43.56,-14.710,-15.000,8.640
131291,333.75,-13.94,43.69,-13.990,-16.090,9.690
131304,333.56,-13.88,43.75,-13.560,-15.440,11.330
131316,333.63,-13.50,43.63,-8.190,-11.700,10.680
131330,333.87,-12.75,43.38,-7.270,-11.150,9.440
131342,334.56,-10.81,42.62,-4.590,-6.030,6.420
131354,335.25,-9.63,42.31,-2.700,-4.010,5.130
131366,335.94,-8.63,41.94,0.450,-3.450,4.620
131380,336.50,-7.87,41.75,0.960,-2.270,5.370
131392,336.50,-7.19,41.81,15.250,-0.170,5.990
131404,335.63,-6.87,42.00,13.450,1.690,5.850
131416,335.25,-7.00,42.13,10.100,-0.660,5.860
131430,335.44,-7.56,42.19,5.980,-0.900,1.890
131442,336.00,-8.50,42.44,6.140,-1.890,2.680
131454,336.25,-8.81,42.69,5.690,-1.690,4.310
131466,336.44,-9.06,42.81,5.230,-5.060,2.700
131480,336.12,-9.44,43.00,4.760,-4.390,3.670
131492,335.25,-10.94,43.56,-0.160,-6.250,6.580
131504,334.87,-11.88,43.81,-2.980,-6.810,7.920
131516,334.56,-12.88,44.06,-5.500,-9.030,8.880
131530,334.31,-13.94,44.44,-7.670,-9.690,9.590
131542,333.87,-15.75,45.06,-15.420,-13.770,9.980
131555,333.87,-16.19,45.25,-19.650,-14.580,9.270
131567,333.69,-16.31,45.25,-16.830,-15.990,9.080
131581,333.38,-16.31,45.19,-14.950,-16.470,10.130
131593,333.69,-15.13,44.69,-8.090,-13.010,9.200
131605,333.94,-14.06,44.13,-11.040,-10.190,8.030
131617,334.50,-13.13,43.56,-3.580,-7.090,6.780
131631,335.25,-11.94,43.13,-3.310,-5.370,7.620
131643,336.94,-9.81,42.13,3.350,-0.660,5.850
131655,337.31,-9.06,41.69,7.940,0.260,5.720
131667,336.81,-8.44,41.50,13.740,-0.070,4.360
131681,335.75,-8.06,41.50,13.280,1.400,4.340
131693,335.63,-8.56,41.44,5.990,-1.620,1.740
131705,336.12,-9.19,41.50,6.940,-1.140,1.000
131717,336.75,-9.63,41.75,7.590,-1.990,4.630
131731,337.31,-9.94,42.06,5.260,-2.360,5.060
131743,337.50,-10.75,42.62,3.850,-4.760,5.800
131755,337.31,-11.50,43.00,2.310,-4.520,5.560
131767,337.19,-12.31,43.38,-0.130,-5.400,5.980
131781,336.94,-13.31,43.69,-3.220,-5.870,6.540
131793,336.37,-15.38,44.50,-11.100,-10.660,9.030
131806,336.19,-16.31,44.88,-12.520,-12.950,9.470
131818,336.00,-17.12,45.12,-19.530,-15.120,9.060
131832,336.06,-17.50,45.25,-18.980,-17.990,8.730
131844,335.38,-17.62,45.12,-15.130,-16.160,11.240
131856,335.44,-17.31,44.94,-10.290,-12.550,9.820
131868,335.69,-16.50,44.56,-8.120,-10.640,8.300
131882,335.88,-15.38,44.06,-5.990,-11.700,6.700
131918,338.62,-11.56,42.25,2.040,-1.500,5.950
131932,339.12,-10.81,41.94,7.420,0.810,6.690
131944,338.62,-9.94,41.75,10.600,0.560,5.910
131956,338.06,-10.00,41.81,9.860,1.570,6.200
131968,337.81,-10.38,42.00,5.060,-0.150,3.600
131982,337.88,-10.94,42.19,6.020,-0.450,1.620
131994,338.06,-11.63,42.81,5.690,-3.440,4.560
132007,338.31,-11.88,43.13,5.540,-5.230,3.940
132019,338.25,-12.19,43.31,4.570,-6.590,4.120
132033,337.88,-12.69,43.63,3.420,-6.230,6.560
132045,337.56,-14.13,44.25,-3.870,-8.560,9.110
132057,337.38,-14.87,44.56,-6.030,-10.680,10.290
132069,337.31,-15.56,44.88,-9.880,-10.930,9.850
132083,337.25,-16.19,45.12,-16.940,-13.560,9.400
132095,337.38,-16.56,45.25,-18.790,-15.790,8.150
132107,337.12,-16.56,45.12,-15.220,-14.500,9.630
132119,337.06,-16.25,44.94,-11.960,-12.070,9.240
132133,337.31,-15.50,44.56,-9.050,-10.540,8.300
132145,338.50,-13.19,43.44,-5.340,-6.790,7.260
132157,339.19,-12.06,43.00,-1.770,-5.830,7.050
132169,339.88,-11.00,42.56,1.100,-2.670,6.650
132183,340.44,-10.13,42.06,8.120,-0.780,6.120
132195,340.19,-9.06,41.19,13.190,2.140,4.580
132207,339.94,-8.94,40.94,12.000,1.560,5.180
132219,340.25,-9.19,40.56,4.610,-0.080,1.460
132233,340.75,-9.81,40.38,5.640,1.820,0.690
132245,341.69,-10.63,40.63,6.500,-2.360,5.190
132258,341.94,-10.88,40.75,6.810,-3.450,5.450
132270,341.75,-11.06,40.94,5.080,-3.540,6.590
132284,341.38,-11.44,41.19,3.780,-4.820,8.070
132296,340.56,-12.94,41.75,-5.200,-6.490,9.480
132308,340.00,-13.81,42.19,-7.450,-8.010,10.490
132320,339.44,-14.69,42.56,-10.690,-10.150,9.860
