frame,t_ms,wrist_x,wrist_y,index_mcp_x,index_mcp_y,middle_mcp_x,middle_mcp_y,ring_mcp_x,ring_mcp_y,hand_score,handedness
240,8145.111,,,,,,,,,,
241,8178.433,,,,,,,,,,
242,8211.744,,,,,,,,,,
243,8245.056,0.040844,0.428342,0.117963,0.502584,0.082789,0.528213,0.051028,0.553096,0.9239,Right
244,8278.378,0.028607,0.578623,0.159110,0.377179,0.109122,0.391376,0.060617,0.432855,0.9949,Right
245,8311.689,0.119413,0.629072,0.225648,0.370879,0.176993,0.383159,0.126364,0.430900,0.9886,Right
246,8345.000,0.132942,0.598613,0.257330,0.352597,0.222024,0.365706,0.183737,0.409600,0.9758,Right
247,8378.322,0.165194,0.579737,0.337084,0.348588,0.309024,0.360422,0.275248,0.401018,0.9964,Right
248,8411.633,0.211820,0.560307,0.429331,0.347445,0.408100,0.355953,0.378740,0.399627,0.9950,Right
249,8444.944,0.273467,0.545939,0.495471,0.344678,0.477296,0.363806,0.449819,0.413465,0.9966,Right
250,8478.256,0.323366,0.551339,0.553581,0.364952,0.531983,0.373606,0.501317,0.415346,0.9975,Right
251,8511.578,0.341158,0.553175,0.563026,0.380956,0.547566,0.380124,0.520263,0.417078,0.9980,Right
252,8544.889,0.339457,0.556478,0.566737,0.388664,0.545799,0.392675,0.514325,0.431732,0.9951,Right
253,8578.200,0.309898,0.554269,0.534521,0.392832,0.505989,0.404019,0.469987,0.446861,0.9967,Right
254,8611.522,0.258483,0.553838,0.483691,0.398919,0.452463,0.409592,0.413373,0.449177,0.9972,Right
255,8644.833,0.190349,0.542033,0.389051,0.363105,0.359485,0.386362,0.326704,0.439105,0.9933,Right
256,8678.144,0.142135,0.575978,0.323201,0.387898,0.274530,0.400781,0.222657,0.445865,0.9973,Right
257,8711.467,0.114894,0.624783,0.247813,0.415831,0.189692,0.415974,0.133362,0.449783,0.9910,Right
258,8744.778,0.085583,0.553003,0.145651,0.442453,0.100866,0.451475,0.065208,0.479670,0.9481,Right
259,8778.089,,,,,,,,,,
260,8811.411,,,,,,,,,,
261,8844.722,,,,,,,,,,
262,8878.033,,,,,,,,,,
263,8911.356,,,,,,,,,,
264,8944.667,,,,,,,,,,
265,8977.978,,,,,,,,,,
266,9011.300,,,,,,,,,,
267,9044.611,,,,,,,,,,
268,9077.922,,,,,,,,,,
269,9111.244,,,,,,,,,,
270,9144.556,0.050409,0.421094,0.128777,0.447307,0.098439,0.457414,0.070803,0.482851,0.8381,Right
271,9177.867,0.089192,0.589327,0.185818,0.345291,0.136967,0.351154,0.089534,0.389289,0.9906,Right
272,9211.189,0.120845,0.591627,0.246252,0.336837,0.203378,0.335832,0.156661,0.371638,0.9849,Right
273,9244.500,0.148341,0.572079,0.296970,0.330522,0.259935,0.323210,0.217684,0.351662,0.9940,Right
274,9277.811,0.180351,0.553669,0.350887,0.315062,0.315987,0.303107,0.277411,0.330618,0.9990,Right
275,9311.133,0.210266,0.537176,0.388968,0.299798,0.351599,0.283107,0.310268,0.309038,0.9991,Right
276,9344.444,0.219518,0.525154,0.400458,0.296564,0.364859,0.280118,0.325714,0.306204,0.9987,Right
277,9377.756,0.211986,0.516740,0.401662,0.292508,0.365516,0.276074,0.326577,0.303682,0.9989,Right
278,9411.067,0.199613,0.527214,0.387482,0.296831,0.350901,0.278577,0.311077,0.305231,0.9983,Right
279,9444.389,0.183819,0.538553,0.360144,0.313021,0.324219,0.293494,0.284161,0.314011,0.9982,Right
280,9477.700,0.155514,0.557835,0.311253,0.306543,0.272015,0.294160,0.228781,0.320803,0.9964,Right
281,9511.011,0.129718,0.589959,0.254609,0.315120,0.209910,0.306471,0.163932,0.335009,0.9965,Right
282,9544.333,0.103588,0.576915,0.196895,0.319275,0.149400,0.323993,0.103959,0.363248,0.9963,Right
283,9577.644,0.044888,0.559611,0.133289,0.341981,0.091961,0.342621,0.053556,0.374040,0.9920,Right
284,9610.956,0.030633,0.576242,0.086142,0.363541,0.040802,0.361215,0.002310,0.384959,0.9864,Right
285,9644.278,,,,,,,,,,
286,9677.589,,,,,,,,,,
287,9710.900,,,,,,,,,,
288,9744.222,,,,,,,,,,
289,9777.533,,,,,,,,,,
290,9810.844,,,,,,,,,,
291,9844.167,,,,,,,,,,
292,9877.478,,,,,,,,,,
293,9910.789,,,,,,,,,,
294,9944.111,,,,,,,,,,
295,9977.422,,,,,,,,,,
296,10010.733,,,,,,,,,,
297,10044.056,,,,,,,,,,
