265.81,-45.94,9.81,-6.970,-1.820,6.140
124251,218.25,25.81,6.37,7.270,-0.990,10.760
124265,218.06,30.06,3.94,7.340,-0.820,10.650
124277,218.88,36.69,0.19,8.040,-0.010,9.460
124289,219.31,39.25,-1.19,8.410,2.160,10.550
124301,219.62,41.50,-2.31,8.690,2.640,8.560
124315,219.44,43.56,-3.06,10.190,4.110,8.110
124327,219.94,47.38,-4.37,9.390,1.870,7.480
124339,220.56,49.13,-5.00,9.380,3.970,7.480
124351,221.19,50.81,-5.81,8.490,2.310,7.240
124365,221.31,52.50,-6.25,9.590,3.350,9.020
124377,222.56,55.06,-8.31,9.350,1.760,6.380
124389,223.13,56.13,-9.00,9.540,2.800,6.790
124401,223.69,57.06,-10.00,9.040,2.960,6.790
124415,223.94,58.00,-10.69,8.920,2.280,6.050
124427,223.50,59.88,-11.38,7.860,2.580,6.010
124439,223.25,60.56,-11.88,7.340,1.960,5.990
124451,223.06,61.13,-12.13,7.220,1.250,6.390
124465,222.88,61.56,-12.44,7.560,0.990,5.950
124477,223.19,61.81,-13.38,6.950,0.910,5.780
124490,223.44,61.69,-13.69,7.150,1.350,5.770
124502,223.69,61.50,-13.88,7.160,1.910,5.340
124516,223.81,61.31,-13.75,7.220,2.170,5.400
124528,223.87,61.00,-13.19,7.160,3.170,6.310
124540,223.75,60.81,-13.06,6.940,1.510,7.060
124552,223.75,60.50,-13.06,6.750,1.330,7.290
124566,224.00,59.88,-13.25,6.480,1.060,7.230
124578,225.31,58.00,-13.81,5.400,-0.880,6.040
124590,226.37,56.56,-13.75,5.750,0.400,5.890
124602,227.69,54.75,-13.69,5.040,1.440,5.300
124616,228.69,52.88,-13.31,5.690,1.520,6.360
124628,228.94,49.88,-10.56,10.740,3.560,5.720
124640,229.00,48.81,-9.56,9.730,3.960,6.080
124652,229.25,47.94,-9.13,8.600,2.470,6.230
124666,229.25,47.38,-8.81,7.840,1.770,6.530
124678,228.81,46.19,-8.19,4.920,0.690,6.350
124690,228.62,45.25,-8.00,5.680,0.270,6.160
124702,228.44,44.31,-7.75,6.330,-0.130,6.000
124716,228.31,43.38,-7.37,6.770,0.410,6.310
124728,228.50,41.31,-6.75,6.140,1.280,7.420
124741,228.44,40.25,-6.44,6.090,0.860,7.330
124753,228.37,39.25,-6.12,5.120,1.280,7.750
124767,228.31,38.00,-5.81,5.440,1.400,8.260
124779,227.56,35.81,-5.06,5.700,1.200,8.830
124791,227.19,34.81,-4.50,5.610,1.170,8.460
124803,226.88,33.69,-4.00,3.980,-0.400,5.830
124817,226.06,32.88,-3.56,3.920,-2.880,8.020
124829,224.12,31.81,-2.19,1.750,-2.930,8.910
124867,218.75,29.25,3.25,0.010,-1.160,10.550
124879,209.12,26.94,8.25,8.610,3.510,9.680
124891,205.12,25.56,9.44,7.950,1.170,8.360
124903,202.38,23.87,10.06,4.530,-3.460,7.670
124917,202.00,22.56,10.00,5.320,-3.680,7.910
124929,205.19,20.56,9.69,3.460,-0.370,9.660
124941,207.37,19.69,9.44,7.330,1.230,8.230
124953,210.69,19.37,8.81,14.500,-1.020,5.810
124967,216.69,19.56,7.87,4.410,-1.310,9.460
124979,226.25,20.06,5.87,19.340,8.340,12.000
124991,233.81,20.50,3.19,17.790,1.150,10.050
125003,245.37,20.62,-0.75,-7.740,-8.250,8.580
125017,250.50,20.88,-3.94,-4.860,-4.020,9.210
125029,252.38,21.50,-8.38,-3.330,-4.060,11.040
125042,255.69,19.69,-10.25,-3.740,-6.090,8.900
125054,257.12,18.12,-11.19,-1.870,-5.030,10.100
125068,258.63,16.25,-11.38,-1.050,-5.020,10.100
125080,260.19,12.75,-9.69,11.710,5.450,11.630
125092,258.56,13.19,-8.81,11.190,4.930,13.490
125104,261.81,12.25,-8.25,6.330,0.570,12.130
125118,265.19,11.75,-7.62,1.080,1.950,12.440
125130,267.44,13.13,-6.81,2.810,5.890,13.210
125142,268.25,14.00,-7.06,3.200,7.600,14.020
125154,268.94,15.00,-7.75,3.680,7.480,13.900
125168,269.13,16.25,-9.13,3.800,5.050,12.300
125180,269.62,18.87,-12.94,1.680,1.040,9.130
125192,270.25,19.87,-14.63,1.130,-0.240,7.610
125204,270.63,20.88,-16.19,1.490,-0.690,7.310
125218,270.69,21.81,-17.31,2.160,-0.060,7.090
125230,269.44,24.44,-18.62,6.700,5.200,7.950
125242,269.25,25.62,-19.50,5.960,6.220,7.910
125254,269.56,26.75,-20.75,3.620,4.800,7.510
125268,269.87,27.50,-22.19,2.840,3.140,7.080
125280,270.19,28.56,-24.81,3.110,1.710,7.490
125293,270.12,29.00,-25.56,3.530,2.220,6.100
125305,270.19,29.19,-26.12,3.620,1.700,6.500
125319,270.25,29.37,-26.56,4.240,1.390,6.300
125331,270.12,30.06,-26.75,4.230,2.320,7.190
125343,270.56,30.19,-26.81,3.510,2.010,7.100
125355,271.06,30.25,-26.75,2.970,1.830,7.040
125369,271.44,30.31,-26.44,3.550,2.900,7.120
125381,271.75,30.37,-25.44,4.280,3.870,7.610
125393,272.12,30.25,-25.00,3.370,4.510,7.770
125405,272.56,30.06,-24.56,3.160,4.330,7.770
125419,272.94,29.87,-24.19,1.410,7.170,11.840
125431,274.62,27.56,-25.19,11.370,-0.290,7.380
125443,280.31,22.75,-27.50,15.690,-6.210,0.650
125455,281.31,22.25,-28.44,4.270,6.150,9.190
125469,280.62,22.94,-28.75,1.960,4.120,7.480
125481,282.25,23.06,-29.87,3.380,3.480,10.280
125493,284.69,21.81,-29.25,0.490,5.490,8.490
125505,287.50,20.94,-29.06,3.660,5.460,8.360
125519,290.19,19.62,-29.19,6.450,6.560,9.080
125531,294.56,16.37,-31.19,6.090,7.220,8.520
125544,297.25,15.19,-31.37,-2.180,3.240,7.690
125556,300.75,13.25,-30.37,-1.420,3.860,7.790
125570,304.75,11.38,-29.19,-1.900,3.630,8.270
125582,311.62,8.13,-25.31,-0.700,1.060,7.990
125594,313.75,7.62,-23.62,1.570,4.510,9.390
125606,315.81,7.25,-21.69,0.940,4.310,8.030
125620,318.50,6.87,-19.56,0.540,3.640,8.220
125632,325.44,7.19,-15.00,2.510,2.330,8.200
125644,329.56,7.56,-13.00,1.050,4.300,9.180
125656,334.06,7.81,-11.06,4.820,-1.010,8.890
125670,337.69,8.44,-9.44,-0.060,3.310,8.670
125682,342.62,9.38,-6.94,0.890,1.820,11.030
125695,344.81,9.69,-5.81,3.580,-0.580,10.700
125707,346.56,10.13,-4.87,2.390,-0.520,10.820
125721,347.37,10.44,-4.06,0.520,1.280,11.680
125733,348.62,10.13,-2.44,1.520,0.270,10.040
125745,349.12,9.69,-1.69,1.490,0.020,10.060
125757,349.31,9.00,-1.12,1.750,-1.670,13.290
125771,348.56,7.19,-0.75,1.050,1.670,7.600
125783,346.50,4.06,-0.94,-0.830,-0.540,10.790
125795,346.62,3.12,-1.00,1.110,-1.290,10.390
125808,346.69,2.44,-1.06,0.570,-0.400,9.790
125821,346.44,1.56,-1.19,0.280,0.430,8.240
125834,346.37,0.00,-1.69,-0.300,-1.610,8.980
125872,346.81,-2.00,-2.87,-0.650,-2.290,8.920
125884,347.81,-2.69,-3.50,-1.020,-1.360,9.000
125896,348.31,-2.81,-3.81,-0.900,-0.900,9.640
125908,348.75,-2.87,-4.06,-1.030,-0.180,10.140
125922,349.12,-3.00,-4.31,-0.940,-0.290,10.470
125934,349.56,-4.25,-4.87,-1.150,-0.400,10.840
125946,349.56,-5.62,-5.50,-1.320,0.460,10.950
125958,349.50,-6.56,-5.62,-1.020,0.490,10.460
125972,349.37,-7.12,-5.31,-1.220,0.410,9.930
125984,348.50,-7.69,-4.56,1.390,2.830,10.500
125996,347.63,-7.87,-4.19,-1.930,0.500,8.040
126008,346.69,-8.38,-3.62,-0.990,0.060,8.990
126022,345.81,-9.13,-3.25,-1.320,0.810,8.770
126034,344.25,-10.06,-2.56,-1.000,2.060,9.660
126046,344.13,-10.13,-2.19,-0.970,1.100,9.860
126058,344.50,-10.06,-1.75,-2.420,0.010,10.060
126072,345.50,-10.13,-1.31,-2.260,-0.710,10.270
126084,349.62,-11.75,-0.06,-2.220,-0.180,10.040
126096,351.69,-13.25,0.19,-0.710,-0.950,9.740
126108,353.12,-14.75,0.19,-2.990,-1.310,11.770
126122,353.94,-16.06,0.00,-2.650,-0.750,11.530
126134,354.13,-20.12,-1.31,-3.420,-1.240,11.400
126146,352.87,-22.37,-2.25,-5.710,-1.810,9.910
126158,351.19,-25.62,-3.56,3.430,-0.920,7.900
126172,349.75,-29.44,-4.69,3.040,-0.550,7.160
126184,349.37,-33.25,-5.19,-4.810,-0.510,9.810
126196,349.81,-34.69,-5.12,-2.860,-0.410,8.950
126208,350.31,-36.00,-5.12,-3.950,-1.190,6.880
126222,351.00,-36.81,-4.81,-6.570,-0.990,6.930
126234,352.06,-38.69,-4.00,-7.280,0.900,7.620
126246,352.19,-40.31,-3.69,-7.130,1.370,7.090
126258,352.19,-42.19,-3.50,-7.390,1.460,6.240
126272,352.06,-44.19,-3.25,-7.450,1.090,5.760
126284,351.69,-47.81,-2.37,-7.610,0.960,4.940
126297,351.50,-49.44,-1.50,-8.730,1.750,6.290
126309,351.37,-50.94,-0.37,-9.030,1.910,6.640
126323,351.31,-52.56,0.62,-8.730,1.770,6.450
126335,351.06,-55.50,1.87,-8.430,1.450,5.610
126347,351.00,-56.56,2.19,-8.390,1.030,5.030
126359,351.12,-57.50,2.44,-8.720,0.320,3.530
126373,351.31,-58.19,2.75,-8.800,-0.410,2.070
126385,351.50,-59.00,4.12,-8.640,-0.230,2.850
126397,351.44,-59.06,5.19,-8.600,0.030,3.450
126409,351.44,-59.06,6.37,-8.550,0.220,4.490
126423,351.50,-58.87,7.56,-8.750,-0.140,4.150
126435,351.69,-58.19,9.38,-8.810,-1.430,2.880
126447,351.62,-57.81,10.25,-8.220,-1.530,2.920
126459,351.44,-57.50,11.12,-7.910,-1.560,3.810
126473,351.12,-57.38,12.19,-7.730,-1.870,4.450
126485,350.56,-57.06,14.25,-8.130,-1.130,4.180
126497,350.31,-56.75,15.13,-8.790,-2.200,4.870
126509,350.00,-56.44,15.94,-9.360,-2.330,5.860
126523,349.69,-56.19,16.56,-9.290,-2.550,6.130
126535,348.69,-56.37,17.25,-7.820,-2.680,6.750
126547,348.13,-56.69,17.37,-7.780,-2.560,6.530
126559,347.56,-57.06,17.50,-8.240,-2.220,6.220
126573,347.06,-57.38,17.56,-8.530,-2.050,5.870
126585,346.13,-57.81,17.56,-8.270,-1.870,6.020
126598,345.69,-58.00,17.44,-8.110,-1.870,5.970
126610,345.25,-58.13,17.31,-8.380,-1.980,6.160
126624,344.81,-58.25,17.12,-9.810,-2.840,6.960
126636,344.06,-58.44,16.56,-11.900,-3.680,7.170
126648,343.50,-59.00,16.06,-11.540,-3.720,6.920
